Species,n,PPT_optimum_tc,PPT_optimum_ch,MAT_optimum_tc,MAT_optimum_ch
Sterculia pruriens,68,2372.802941,2293.882353,25.81041667,246.7205882
Sterculia stipulifera,17,2249.847059,2106.470588,25.33872549,245
Sterculia tessmannii,133,2827.311278,2899.87218,25.05413534,244.3157895
Sterigmapetalum obovatum,69,2493.705797,2636,25.27741546,240.057971
Stilpnophyllum oellgaardii,46,1575.678261,1703.521739,18.25009058,172.6086957
Stryphnodendron guianense,37,1931.156757,1910.945946,25.17995495,243.972973
Stryphnodendron microstachyum,25,2607.332,2576.32,25.34233333,238.8
Stryphnodendron polystachyum,23,2427.786957,2587.391304,25.82554348,246.8695652
Styloceras brokawii,39,2044.930769,1634.74359,24.00897436,237.7692308
Styloceras columnare,18,1139.222222,1170.277778,14.60787037,144.3333333
Stylogyne longifolia,226,2751.235398,2820.663717,25.19520649,241.659292
Styrax cordatus,63,1329.706349,1652.269841,16.9167328,155.9206349
Styrax foveolaria,44,1190.047727,1628.045455,15.70871212,137.8409091
Styrax nunezii,17,1167.947059,1581.588235,17.14534314,159.4117647
Styrax pentlandianus,54,1262.346296,1220.444444,16.84675926,159.2592593
Styrax vilcabambae,13,1040.792308,2076.846154,16.1974359,135.5384615
Swartzia arborescens,203,2681.324138,2775.261084,25.6046798,245.0492611
Swartzia gracilis,24,2660.791667,2739.416667,26.23263889,249
Swartzia myrtifolia,154,2536.321429,2428.071429,24.89101732,243.4350649
Swartzia tessmannii,25,2719.776,2790.64,25.3635,242.88
Sweetia fruticosa,35,1532.785714,1230.285714,22.95607143,227.4285714
Symphonia globulifera,485,2877.49299,2974.417012,24.63028351,238.8008299
Symplocos andicola,13,1140.646154,1809.461538,17.35480769,153.2307692
Symplocos apiciflora,21,1046.838095,1735.714286,16.15912698,136.6190476
Symplocos arechea,58,2271.72931,2357.086207,22.31925287,216.5689655
Symplocos baehnii,22,966.5045455,1759.5,14.81155303,117.5
Symplocos bogotensis,61,1684.860656,1900.52459,17.2192623,158.4590164
Symplocos canescens,25,1371.188,1556.12,16.3765,149.44
Symplocos colorata,20,1181.375,1180.1,16.48125,154.8
Symplocos coriacea,34,1049.55,1966.941176,16.50637255,137.7941176
Symplocos debilis,19,1333.868421,1386.421053,18.75789474,174.8947368
Symplocos denticulata,19,1071.536842,1434.157895,14.44407895,131.7368421
Symplocos fimbriata,56,1088.35,1520.142857,12.8984375,117.6607143
Symplocos flosfragrans,18,1936.65,2217.277778,15.2212963,146.2777778
Symplocos fuliginosa,31,1585.206452,2036.516129,16.20994624,154.8064516
Symplocos fuscata,35,1206.885714,1423.057143,15.22511905,140.5142857
